NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
PL92,PL,353,0.05030639874590281,9114,2025,458.4925181701582,2185155,2.098215083919256,61.8,nuts2,0.6313360358640425
PT11,PT,859,0.31615752668384245,3339,2025,1055.64998159735,3692842,2.8586383646994644,59.72,nuts2,0.6039799338896266
PT15,PT,133,0.04895104895104895,3339,2025,163.44755244755245,492747,3.3170684437967646,62.71,nuts2,0.5611640056208412
PT16,PT,670,0.2465955097534045,3339,2025,823.3824070666176,2264956,3.635313035072724,55.47,nuts2,0.5892233322209905
PT17,PT,663,0.24401913875598086,3339,2025,814.77990430622,2921564,2.7888483849959136,67.19,nuts2,0.5613404980101365
PT18,PT,257,0.09458962090541038,3339,2025,315.83474420316526,716994,4.404984479691117,52.49,nuts2,0.5669600552223107
PT20,PT,65,0.023923444976076555,3339,2025,79.88038277511961,241718,3.3046931869004217,60.68,nuts2,0.574410656559952
PT30,PT,70,0.02576370997423629,3339,2025,86.02502760397498,259440,3.315796623649976,64.31,nuts2,0.551307010309208
RO11,RO,349,0.11758760107816711,3288,2025,386.6280323450135,2544010,1.5197583041930396,33.26,nuts2,0.8389854195437458
RO12,RO,454,0.15296495956873316,3288,2025,502.9487870619946,2291551,2.194796393630317,30.93,nuts2,0.8177003888399144
RO21,RO,282,0.09501347708894879,3288,2025,312.4043126684636,3218218,0.9707369502888356,26.57,nuts2,0.909547365538623
